Location,Hospital_Name,State,District,Pincode,Latitude,Longitude,Specialisation,n_beds
Zadeshwar,Shri A T Shah Ayur Sarv Hospital,Gujarat,Bharuch,392011,21.7142143,73.0316727,"Breast Ultrasound, Bone Mineral Density,Abdominal Ultrasound,Diagnostic Ultrasound",5
"Opposite State Bank Of India, Upalivat, Jambusar",Shreeji Hospital and Prasuti Gruh,Gujarat,Bharuch,392150,22.0532579,72.8013252,"Dental,Maternity, neurologist, Bone Fracture,Urologist",8
Jambusar Road,Welfare Clinic,Gujarat,Bharuch,392150,21.7082919,72.9647937,Obstetrician,12
"1St Floor,Market Yard Shopping Centre,Station Road,Near Rotary Circle,Ankleshwar",Aatman Children Hospital,Gujarat,Bharuch,393001,21.6264236,73.0151984,"Nephrologist, Dialysis center",10
"Near Navjivan Hospital, Sagbara Compound Ankleshwar",Ami Maternity Hospital,Gujarat,Bharuch,393001,21.6264236,73.0151984,Paediatrician,35
"Opposite Ongc Workshop, Ankleshwar",Ankleshwar Sarvajanik Hospital,Gujarat,Bharuch,393001,21.6264236,73.0151984,"Dermatologist, General Physician, Dentist, Gynaecologist & Obstetrician, ENT, Orthopaedic, Neurologist, Gastroenterologist, Cardiologist, Diabetologist, Breast Cancer",130
"Station Road, Ankleshwar",Dr. Ajmanis Dave Orthopaedic Hospital,Gujarat,Bharuch,393001,21.6294859,72.99441,Gynaecologist & Obstetrician,110
"Prakash Shopping Centre, Station Road, Ankleshwar",Gandhi Hospital,Gujarat,Bharuch,393001,21.6279396,72.997633,Ophthalmologist,30
"Market Yard Shopping Centre, Opposite Circle, Station Road, Ankleshwar",Kruti Ent Hospital,Gujarat,Bharuch,393001,21.6294859,72.99441,Cardiologist,4
"Opp Hazi Manzil,Station Road,Ankleshwar (),Ankleshwar",Mamta Children Hospital,Gujarat,Bharuch,393001,21.6331614,73.0199124,"General Physician, Gynaecologist & Obstetrician, Orthopaedic, Paediatricians, Ophthalmologists",13
"Station Road, Behind Lic Office, Ankleshwar",Mehta Fracture and Orthopaedic Hospital,Gujarat,Bharuch,393001,21.6264236,73.0151984,Obstetrician,5
Station Road Opp Haji Manjjii Ankleshwar,Navjeevan Hospital,Gujarat,Bharuch,393001,21.6264236,73.0151984,"Nephrologist, Dialysis center",8
"1St Floor, Prakash Shopping Centre, Station Road, Ankleshwar",Purohit Children Hospital,Gujarat,Bharuch,393001,21.6294859,72.99441,Paediatrician,12
"Gf/60 To 69, Omkar Complex, Valia Chokdi, Gidc, Ankleshwar",Shree Rang Childrens Hospital,Gujarat,Bharuch,393001,21.6143446,73.0115597,"Dermatologist, General Physician, Dentist, Gynaecologist & Obstetrician, ENT, Orthopaedic, Neurologist, Gastroenterologist, Cardiologist, Diabetologist, Breast Cancer",10
"Plot No- 8- 9, Keshav Park, Piraman Road, Ankleshwar",Shri Ramlal Lokhandwala Netramandir,Gujarat,Bharuch,393001,21.6264236,73.0151984,Gynaecologist & Obstetrician,35
"Opposite Chauta Bazar, Police Chowki, Ankleshwar",Soni Clinic,Gujarat,Bharuch,393001,21.6264236,73.0151984,Ophthalmologist,130
"Block No. 33,Near Uttaraj Village",Kaka Ba Hospital,Gujarat,Bharuch,393030,24.6559442,72.7758247,Cardiologist,110
"Sewa Rural, Jhagadia",Kasturba Hospital,Gujarat,Bharuch,393110,21.719148,73.1497549,"General Physician, Gynaecologist & Obstetrician, Orthopaedic, Paediatricians, Ophthalmologists",30
"Jhagadia ., (India)",Seva Rural Trust Hospital,Gujarat,Bharuch,393110,21.719148,73.1497549,Obstetrician,4
"E/11-12, Center Point, Near V Mart Circle, Gogh Circle, Bhavnagar\n","Centre For Sight, Bhavnagar",Gujarat,Bhavnagar,364001,21.7644725,72.1519304,"Nephrologist, Dialysis center",13
Bhavnagar,Akshadeep Eye Hospital,Gujarat,Bhavnagar,364001,21.7644725,72.1519304,Paediatrician,5
"Shalibhadra Apartment, Opposite Dadasaheb Derasar, Kalanala",Ayushya Cancer Hospital,Gujarat,Bhavnagar,364001,21.7684761,72.1427239,"Dermatologist, General Physician, Dentist, Gynaecologist & Obstetrician, ENT, Orthopaedic, Neurologist, Gastroenterologist, Cardiologist, Diabetologist, Breast Cancer",8
0,Bagrangdas Bappa Arogyadham,Gujarat,Bhavnagar,364001,21.7644725,72.1519304,Gynaecologist & Obstetrician,5
0,Chirag Clinic,Gujarat,Bhavnagar,364001,21.7644725,72.1519304,Ophthalmologist,8
Vijayrajnagar,Dr Balar Hospital,Gujarat,Bhavnagar,364001,21.7613983,72.1275438,Obstetrician,20
Satyanarayan Road,Dr. Ramesh R Virdia,Gujarat,Bhavnagar,364001,21.7644725,72.1519304,"Nephrologist, Dialysis center",17
"Near Sanskar Mandal,Talaja Road",Gajjar Eye Hospital,Gujarat,Bhavnagar,364001,21.7553782,72.1485935,Paediatrician,30
Boardi Get,Jani Meternity Home,Gujarat,Bhavnagar,364001,21.7644725,72.1519304,"Dermatologist, General Physician, Dentist, Gynaecologist & Obstetrician, ENT, Orthopaedic, Neurologist, Gastroenterologist, Cardiologist, Diabetologist, Breast Cancer",101
"Kalanala, Uperkot",Jeegar Hospital - Bhavnagar,Gujarat,Bhavnagar,364001,21.7644725,72.1519304,Gynaecologist & Obstetrician,20
"Near Darshan Complex,Vithalwadi",Jivandeep Multi - Speciality Surgical Centre,Gujarat,Bhavnagar,364001,21.7626,72.1235,Ophthalmologist,7
Bhavnagaar,Matrushree Veerbaima Nursing Home,Gujarat,Bhavnagar,364001,21.7644725,72.1519304,Cardiologist,11
"Sameep, Complex",Nice Children Hospital,Gujarat,Bhavnagar,364001,21.7644725,72.1519304,"General Physician, Gynaecologist & Obstetrician, Orthopaedic, Paediatricians, Ophthalmologists",33
"2Nd Floor, Suryadeep Complex, Kalanala",Om Ent and Sinus Clinic,Gujarat,Bhavnagar,364001,21.7686046,72.1443199,Gynaecologist & Obstetrician,26
"Ram Nagar,Talaja Road",Om Shri Ram Mantra Mandir Trust,Gujarat,Bhavnagar,364001,21.7430999,72.1448,"General Physician, Gastroenterologist, Oncologist, Endoscopist",43
"C/O. Anand Jyot Hospital ( Dr. Maltiben`S Hospital, 40/E, Takhteshwar Plot, Kalanala",Perfect Lifecare,Gujarat,Bhavnagar,364001,21.7684761,72.1427239,"Gynaecologist & Obstetrician, Urologist",19
Akar Complex Opp Sir -T Hospital Kalanala,Ramakrishna Hospital,Gujarat,Bhavnagar,364001,21.7684761,72.1427239,General Physician,6
Diamond Chowk,Shantilal Mohanlal Shah Foundation General Hospital,Gujarat,Bhavnagar,364001,21.7691254,72.1591392,"Gynaecologist & Obstetrician, ENT",24
Sterling Complex Nanbhavadi Kalanala,Shree Ram Nursing Home,Gujarat,Bhavnagar,364001,21.7684761,72.1427239,"General Physician, Gynaecologist & Obstetrician, Orthopaedic, Paediatrician, Ophthalmologist, Cardiologist, Oncologist
",41
Panwadi,Shri Bajrangdas Bapa Arogyadham,Gujarat,Bhavnagar,364001,21.7721434,72.1401322,"ENT, General Physician, Orthopaedic, Paediatricians, Neurologist, Cardiologist, Urologist, Diabetologist, Nephrologist,Coronavirus Testing Centres,Dialysis Centre, Cancer, Oncologist, Endocrinologist, Paediatric Neurologist, Paediatric, Joint Replacement, Paediatric Cardiologist",521
0,Sir T Hospital,Gujarat,Bhavnagar,364001,21.7684425,72.1430473,Maternity,15
"Chitaranjan Chowk,Vidya Nagar,Bhavanagar",Dr Dijesh Shahs Meru Nurshing Home,Gujarat,Bhavnagar,364002,21.760944,72.1400859,"General Physician, Gynaecologist & Obstetrician, Neurologist, Cardiologist, Thyroid, Tonsillitis, ENT, Migraine, Arthritis, Osteoarthritis, Cancer",76
"Adarsh Complex, Jail Road",Gadhiya Orthopaedic Hospital,Gujarat,Bhavnagar,364002,28.6293579,77.0998342,"Paediatricians, Maternity",27
"2Nd Floor,Suryadeep Complex, Kalanala",Lakhani Children Hospital,Gujarat,Bhavnagar,364002,21.7686046,72.1443199,"General Physician, Orthopaedic",16
Pnr Shah Soc,P. N . R. Polio Hospital,Gujarat,Bhavnagar,364002,21.7644725,72.1519304,"Gynaecologist & Obstetrician, Maternity, Gynecological Cancer",45
"Sby-16,Alang,Manar",Hospital Alang,Gujarat,Bhavnagar,364150,21.4142702,72.1682693,Dentist,3
"Amargadh,Tal Sihor",K J Mehta T B Hospital Trust,Gujarat,Bhavnagar,364240,21.7216385,71.957917,Ophthalmologist,6
"Near Kuber, Bang, Nutan Nagar Mahuva",Shreeji Surgical Hospital,Gujarat,Bhavnagar,364250,21.0902399,71.7629895,"Orthopedist, Physiotherapist, ENT",5
Next To St Stand,Dr. Amit Shah's Nursing Home,Gujarat,Bhavnagar,364270,21.7644725,72.1519304,"ENT, Otorhinolaryngologist",5
"Taleti Road, Palitana",Mansihji Hospital-Palitana,Gujarat,Bhavnagar,364270,21.5109255,71.8170773,Maternity,5
"Mukti Nagar, Taleti Road, Palitana",Rasiklal. M. Dhariwal Hospital,Gujarat,Bhavnagar,364270,21.5109255,71.8170773,Maternity,7
"B/H - Bus Station, Palitana, Dis - Bhavnagae",Sanghavi Hospital,Gujarat,Bhavnagar,364270,21.531819,71.8232224,Ophthalmologist,12
"Taleti Road,Palitana",Shri Shatrunjay Hospital Trust,Gujarat,Bhavnagar,364270,21.5109255,71.8170773,Gynaecologist & Obstetrician,28
"Near Kuber Baugh, Mahuva",Dholakia Eye Hospital and Laser Center,Gujarat,Bhavnagar,364290,21.0915337,71.7637823,"Urology, Gynaecologist & Obstetrician, Gastroenterology, Dermatolist, Diabetologist",23
"Paliyad Road, Botad",Nisarg Hospital and Sonography Centre,Gujarat,Bhavnagar,364710,22.1814964,71.6487316,"Dentist, Neurologist, Cardiac, Orthodontist",21
Rajpipla,Anand Hospital,Gujarat,Bhavnagar,364750,21.8628046,71.9608808,"General Physician, Ophthalmologist",12
"Sir T.Hospital Campus,\nDr H Vaidya Road, Jail Road, Kalanala, Bhavnagar","Government Medical College, Bhavnagar",Gujarat,Bhavnagar,364002,21.763636,72.1370682,Gynaecologist & Obstetrician,14
Singword,Community Health Centre,Gujarat,Dahod,389140,22.8379314,74.2531465,"General Physician, Orthopaedic",8
"Near S.T.Stand Road, Limkheda",Pooja Maternity Home and General Hospital,Gujarat,Dahod,389140,22.82708,73.9894679,Ophthalmologist,6
Station Road,Aditi Eye Hospital,Gujarat,Dahod,389151,22.8379314,74.2531465,Orthopaedic,6
Govindnagar,Ashirwad Hospital,Gujarat,Dahod,389151,22.8317208,74.2634159,ENT,6
Station Road,Chaitali Children Hospital,Gujarat,Dahod,389151,22.8379314,74.2531465,Gynaecologist & Obstetrician,15
Station Road,Chaturvedi Hospital,Gujarat,Dahod,389151,22.8379314,74.2531465,"General Physician, Urologist, Diabetologist, Tuberculosis, Cardiac, Asthma, Hepatitis, Maternity",4
Govind Nagar,Chirayu Hospital,Gujarat,Dahod,389151,22.8317208,74.2634159,General Physician,5
Opp-Darpan Cinema,Kaizar Medical Nursing Home,Gujarat,Dahod,389151,22.8379314,74.2531465,"General Physician, Urologist",8
Darpan Talkies Road,Life Line Hospital,Gujarat,Dahod,389151,22.8379314,74.2531465,Orthopedic,4
Civil Court Road,Nayak Hospital,Gujarat,Dahod,389151,22.8379314,74.2531465,"Gastroenterologist, Urologist, Maternity",14
Mota Ghanchiwada,Sahar Homeo Clinic,Gujarat,Dahod,389151,22.8379314,74.2531465,Gynaecologist & Obstetrician,14
Daulatgunj Bazar,Shraddha Nursing Home,Gujarat,Dahod,389151,22.8379314,74.2531465,Ophthalmologist,4
Neelam Society,Singh Hospital,Gujarat,Dahod,389151,22.8379314,74.2531465,"Orthopaedic, Paediatrician",6
Hanuman Bazar,Thakor Hospital,Gujarat,Dahod,389151,22.8306673,74.2617903,"Pathology Labs
",0
At & Po. Fatepura,Vardan General Hospital And Prasutigruh,Gujarat,Dahod,389151,22.8931574,74.0270745,Maternity,11
"1066, Talav Road",Zainab Nursing Home,Gujarat,Dahod,389151,22.8324185,74.2520279,Dentist,2
"1St Floor, Agrasen Complex, Vadbazar. At & Po : Jhalod",Avadh Hospital,Gujarat,Dahod,389170,23.0981684,74.1643497,"General Physician, Paediatrician",4
"653, Nr. G-2 Circle Sector-6B",Gayatri Hospital,Gujarat,Gandhinagar,382006,22.7607109,75.8744981,"General Physician, Gynaecologist & Obstetrician",16
Hansol- Highway,Astha Orthopaedic and Spine Hospital,Gujarat,Gandhinagar,382007,23.179819,72.568142,Orthopaedic,4
"B26/2 Sector,7-D Near Gh-3 Corner",Dr Deepak Mehta Surgical Hospital And Nursing Home,Gujarat,Gandhinagar,382007,23.2151109,72.6422882,Orthopaedic,4
"Plot No. 948/2, Secotr 7/C",Hanumant Super Speciality Hospital,Gujarat,Gandhinagar,382007,19.109334,73.004973,Maternity,16
"Plot No.-900/1, Sector-7C",Navjivan Hospital,Gujarat,Gandhinagar,382007,19.109334,73.004973,General Physician,2
"Plot No. 904/1, Sector-7/C",Sharada Medical Nursing Home and Eye Care Pvt. Ltd.,Gujarat,Gandhinagar,382007,19.109334,73.004973,"Urologist, Maternity",17
"Sector 16, Gh-4",Shraddhadeep Eye Hospital,Gujarat,Gandhinagar,382007,23.2156354,72.6369415,"Gynaecologist & Obstetrician, Ophthalmologist, Oncologist",17
"901/7, Sector 7 C, Gh Road, Nr Main Bus Depot",Tej Care Center,Gujarat,Gandhinagar,382007,23.216719,72.6421769,Maternity,18
"590/2, B, Gh-2 Corner, Sec 7/B",Yashdeep Eye and Child Hospital,Gujarat,Gandhinagar,382007,23.2081099,72.6360795,"General Physician, Gynaecologist & Obstetrician, Ophthalmologist, Cardiologist, Diabetologist, Neurologist",16
Sector 7-C,Akshar Hospital,Gujarat,Gandhinagar,382010,23.2156354,72.6369415,"General Physician, Orthopaedic",6
0,Ma Maternity and Surgical Hospital,Gujarat,Gandhinagar,382010,23.2156354,72.6369415,"Gastroenterology, ENT, Dental, Gynaecology & Obstetric, Ophthalmology, Endocrinology & Diabetes, Urology, Dermatology",4
Sector-22,Sarkari Ayurved Hospital,Gujarat,Gandhinagar,382010,23.2350111,72.6579865,"General Physician, Ophthalmologist",4
Antarvedipalem,Sri Sai Bhramarambika Nursing Home,Gujarat,Gandhinagar,382010,23.2156354,72.6369415,"Gynecology/Obstetrics, Gynecologic Oncology",18
"Plot No. 447, Sector 16",Ela Maternity Hospital,Gujarat,Gandhinagar,382016,19.104738,73.006112,"General Physician, Gynaecologist & Obstetrician, Cardiologist, Diabetologist, Oncologist, Orthopaedic",18
447 Sector -16,Ila Maternity Hospital - Gandhinagar,Gujarat,Gandhinagar,382016,23.2156354,72.6369415,"ENT, Urologist, Gastroenterologist, Dermatologist, Gynaecology & Obstetrics, Endocrinology & Diabetes, Ophthalmology",18
"Naroda Road, Opposite Shakti Complex, Mota Chiloda",Krishana Hospital,Gujarat,Gandhinagar,382355,23.2260728,72.7318827,Orthopaedic,4
Mota Ishanpur,Shree M B Patel Sarwajanik Hospital,Gujarat,Gandhinagar,382355,23.2156354,72.6369415,"General Physician, Paediatrician",4
Vasna Road,Shreeji Fracture and Orthopaedic Hospital,Gujarat,Gandhinagar,382355,23.2000739,72.6178623,Institutions For Aged,0
"Community Health Centre, Nr. Post Office, Vav Road, Adalaj",CHC Adalaj,Gujarat,Gandhinagar,382421,23.1683667,72.5781545,"Gynecologist, Orthopedic, Neurologist",17
"30/M, Kannavati Nagar, Ghb, Chandkheda",Chandkheda Orth. and Surgical Hospital,Gujarat,Gandhinagar,382424,23.1115671,72.5727621,"General Physician, Gynaecologist & Obstetrician",18
"Nr. Manikrupa School, I.O.C. Road, Chadkheda",CHC Chandkheda,Gujarat,Gandhinagar,382424,23.1126977,72.5759444,"General Physician, Paediatrician, Diabetologist, Maternity",18
316 Third Floor Orange Mall Nr Sharda Petrol Pump & A M T S Bus Stop Chandkheda,Divyajyot Eye Hospital,Gujarat,Gandhinagar,382424,23.1115671,72.5727621,"Urologist, ENT, Gynaecology & Obstetrics, Ophthalmology, Nephrology",33
"226-228, Sarjan-Ii, Opposite Samrudhi Complex, Nr. C.G. Road, Chandkheda",Netra Jyoti Eye and Ent Hospital,Gujarat,Gandhinagar,382424,23.1092054,72.5915629,"Ophthalmology, Endocrinology & Diabetes, Urology, Nephrology, ENT, Dermatology, Gastroenterology, Gynaecology & Obstetrics, Dentist",8
"301,Shilp Annexe,Nr.Sakar School.Above Icicibank,New C.G Road.Chandkheda",Shilp E.N.T Clinic and Hospital,Gujarat,Gandhinagar,382424,23.1092054,72.5915629,"General Physician, Neurologist, Coronavirus Treatment, Diabetologist, Urologist",25
"240 & 320, Orange Mall, Near Sharda Petrolpump, Chandkheda",Shree Sai Children Hospital,Gujarat,Gandhinagar,382424,23.1115671,72.5727621,Orthopaedic,25
"2Nd Floor, Chanakya Plaza, Opposite Swagat-1, Bunglows New C.G. Road, Chandkheda",Vijaya Maternity and Surgical Nursing Home,Gujarat,Gandhinagar,382424,23.1092054,72.5915629,"General Physician, Gynaecologist & Obstetrician, Orthopaedic, Ophthalmologist, Urologist, ENT, Dental",25
"Block-A, Apollo Hospital",Amrish Oncology Services Pvt Ltd,Gujarat,Gandhinagar,382428,12.9363964,77.5843922,"General Physician, Gynaecologist & Obstetrician, Cardiologist",25
"Radheja, Ta & Di",Sheth N.N Saravajanik Hospital,Gujarat,Gandhinagar,382620,23.2156354,72.6369415,Chemist,0
"Yogi Complex 1St Floor, Mahendra Mill Road, Kalol",Harsh Surgical Hospital and Endolaproscopy Center,Gujarat,Gandhinagar,382721,23.2352131,72.5048025,"Gynaecology & Obstetrics, Ophthalmology, Gastroenterology, Nephrology, Endocrinology & Diabetes, ENT, Dermatology, Dentist",48
Nr.Jain Wadi Vardhman Nagar Kalol,Jawahar Children Hospital,Gujarat,Gandhinagar,382721,22.6087487,73.4622161,Maternity,20
"Opposite Railway Station, Kalol",Kalrav Children Hospital,Gujarat,Gandhinagar,382721,22.6087487,73.4622161,"General Physician,Pediatrician",0
"1St Floor, Maruti Complex, Opposite Railway Station, Kalol",Kuldeep Maternity and Surgical Hospital,Gujarat,Gandhinagar,382721,22.6087487,73.4622161,Multi-Speciality,6
"27,Shree Nagar, Opposite Milkamdar Society, Kalol",Mahalaxmi General and Eye Hospital,Gujarat,Gandhinagar,382721,22.6087487,73.4622161,"Fracture,Orthopaedic",3
"Yogi Complex, Mahendra Mill Road, Near J.P. Commercial Centre, Kalol",Niral Heart and Medicare and Skin Clinic,Gujarat,Gandhinagar,382721,22.6087487,73.4622161,"General Physician,Pediatrician",10
"1, Vaibhav Complex Opp Mun Hospital Kalol Kalol",Shraddha Hospital,Gujarat,Gandhinagar,382721,23.2442263,72.5032897,Eye Specialist,0
"Kapileshwar Appartment, Kalol",Vatsalya Maternity and Nursing Home,Gujarat,Gandhinagar,382721,22.6087487,73.4622161,"Gynecologist, Obstetrics",20
"Vakhariya Char Rasta, Nr. Nagrik Bank, College Road, Kalol",Yash Hospital,Gujarat,Gandhinagar,382721,22.6087487,73.4622161,"General Physician,Pediatricians",0
Narodia Road,"Krishna Hospital, Mota Chiloda",Gujarat,Gandhinagar,382735,23.2156354,72.6369415,"Orthopaedic,Paediatricians,Neurologist",2
Kheti Vadi Bazar Samittee,Giants Medical Foundation Apmc Gynac Hospital,Gujarat,Gandhinagar,382845,22.133776,73.4137852,General Physician,0
"Highway Road, Mansa, Mansa",Parmar's Hospital,Gujarat,Gandhinagar,382845,29.9995069,75.3936808,Gynecology/Obstetrics,10
Opp College Mansa,Yashasvi Eye Hospital,Gujarat,Gandhinagar,382845,23.4349854,72.6565084,General Pediatrics,50
"Nawa Bazaar Road, Godhra-GPO, Godhra",Lara Hospital,Gujarat,Panchmahal,389001,22.7788044,73.6142795,General Physician,5
"Pt.Nehru Road, Jamnagar",M.P. Shah Medical College,Gujarat,Jamnagar,361008,22.4826725,70.0585581,"Gynecology/Obstetrics,General Physician",4
"Adarsh Hospital, Wakeshainhggari, Jamnagar","Centre For Sight, Jamnagar",Gujarat,Jamnagar,361006,22.4707019,70.05773,"Orthopaedics,Neurologist,Cardiologist,Urologist",149
Hawai Chowk,Bhagde Maternity and Nursing Home,Gujarat,Jamnagar,361001,22.4707019,70.05773,Multi-Speciality,149
"134/A Valkeshwari, Indira Marg",Divya Orthopaedic Clinic,Gujarat,Jamnagar,361001,22.4733974,70.0661649,General Physician,12
Near Bedi Gate,Dr Sevak Eye Hospital,Gujarat,Jamnagar,361001,22.4831056,70.0320505,Orthopaedic,10
"Near Jain Temple, Chandi Bazar",Dr. Indu - Madhu Medical Centre,Gujarat,Jamnagar,361001,28.7265213,77.7815602,"Dermatologist, Pediatrics, Cardiologist, Gynaecologist, Dentistry",35
Limda Lane,Gaurav Hospital,Gujarat,Jamnagar,361001,22.4707019,70.05773,"Orthopaedic,Coronavirus",130
P.N. Marg,Guru Govindsingh Hospital,Gujarat,Jamnagar,361001,22.4707019,70.05773,"cardiologist, dermatologist, obstetrics, ophthalmologist, pediatrics, neurologist, rheumatologist",110
0,Orthopaedic Hospital,Gujarat,Jamnagar,361001,22.4707019,70.05773,"Pediatrics, Gynaecologist,Maternity,Gastroenterologist",30
"112/B, St Road",Rathi Hospital,Gujarat,Jamnagar,361001,22.4707019,70.05773,"General Physician, Paediatricians,Maternity,Dengue, Vaccination, Fever",4
"Near Gurudwara, Indira Marg",Ruparelia Neuro Hospital,Gujarat,Jamnagar,361001,22.4733273,70.0653476,"Cardiologists , Echocardiologists,Bone Fracture, Paediatrics, Urologist",13
Nr St Bus Stand,V S Hospital,Gujarat,Jamnagar,361001,22.4707019,70.05773,"Breast Ultrasound, Bone Mineral Density,Abdominal Ultrasound,Diagnostic Ultrasound",5
"Kamdar Colony, Near Khodiar Temple,Dwarka High Way",Om Shree Hospital,Gujarat,Jamnagar,361004,22.4671707,70.0488254,"Dental,Maternity, neurologist, Bone Fracture,Urologist",8
Dwarka Highway Road,Samarpan General Hospital,Gujarat,Jamnagar,361004,22.4707019,70.05773,Obstetrician,12
"65, Digvijay Plot, Summair Club Road Near Jolly Bunglow",Dodia Hospital,Gujarat,Jamnagar,361005,22.4617059,70.065572,"Nephrologist, Dialysis center",10
Opposite S.T. Depot,Kotecha Surgical and Maternity Home,Gujarat,Jamnagar,361005,22.4707019,70.05773,Paediatrician,35
"No. 55 / 56, Dig Vijay Plot",Oshwal Hospital,Gujarat,Jamnagar,361005,22.457549,70.0663884,"Dermatologist, General Physician, Dentist, Gynaecologist & Obstetrician, ENT, Orthopaedic, Neurologist, Gastroenterologist, Cardiologist, Diabetologist, Breast Cancer",130
"55/56, Digvijay Plot",Smt.Maniben Vaghjibhai Shah Oshwal Hospital,Gujarat,Jamnagar,361005,22.457549,70.0663884,Gynaecologist & Obstetrician,110
Summair Club Road,Vikalp Hospital,Gujarat,Jamnagar,361005,22.465465,70.0577572,Ophthalmologist,30
"Club Road, Near S. T. Stand",Vs Hospital - Jamnagar,Gujarat,Jamnagar,361005,30.5234408,75.8820704,Cardiologist,4
"103/4,Divyam Complex, Khodiyar Colony",Ved Surgical Hospital,Gujarat,Jamnagar,361006,22.4712736,70.0481741,"General Physician, Gynaecologist & Obstetrician, Orthopaedic, Paediatricians, Ophthalmologists",13
0,Dr.Keyur J. Baxi,Gujarat,Jamnagar,361008,22.4707019,70.05773,Obstetrician,5
0,Uno Children Hospital,Gujarat,Jamnagar,361008,22.4707019,70.05773,"Nephrologist, Dialysis center",8
Reliance Greens,Dhirubhai Aoh and Family Welfare Center,Gujarat,Jamnagar,361140,22.3731971,69.8388936,Paediatrician,12
"Cross Road, Porbandar Raod, Jam-Khambhalia",Bansi Maternity and Surgical Hospital,Gujarat,Jamnagar,361305,22.2052603,69.6587765,"Dermatologist, General Physician, Dentist, Gynaecologist & Obstetrician, ENT, Orthopaedic, Neurologist, Gastroenterologist, Cardiologist, Diabetologist, Breast Cancer",10
"Nagar Naka, Tal-Jam Khambhaliya",General Hospital - Jamkhambhalia,Gujarat,Jamnagar,361305,22.2052603,69.6587765,Gynaecologist & Obstetrician,35
"Jadeshwar Road, Char Rasta Jam Khambhalia",Kanzaria Heart Care Hospital,Gujarat,Jamnagar,361305,22.2052603,69.6587765,Ophthalmologist,130
"Four Road, Porbandar Road, Jamkhambhaliya",Thakkar Maternity and General Hospital Sonography Centre,Gujarat,Jamnagar,361305,22.2081501,69.6446553,Cardiologist,110
"Homegaurd Chowk, Dwarka",Eye Hospital(Rama Charitable Arogyadham),Gujarat,Jamnagar,361335,22.2441975,68.9684562,"General Physician, Gynaecologist & Obstetrician, Orthopaedic, Paediatricians, Ophthalmologists",30
"Jawahar Road, Dwarka",Shree Dwarkadhish Hospital,Gujarat,Jamnagar,361335,22.2441975,68.9684562,Obstetrician,4
Tata Chemicals Limited Mithapur -Okhamandal,Mithapur Hospital,Gujarat,Jamnagar,361345,22.4058584,69.0312124,"Nephrologist, Dialysis center",13
0,Dobariya Children Hospital and N.I.C.U,Gujarat,Junagadh,362001,21.522184,70.4578768,Paediatrician,5
"Nehrupark Society,Near Bus Station",Doshi Hospital For Women Care,Gujarat,Junagadh,362001,21.5226462,70.4551931,"Dermatologist, General Physician, Dentist, Gynaecologist & Obstetrician, ENT, Orthopaedic, Neurologist, Gastroenterologist, Cardiologist, Diabetologist, Breast Cancer",8
"2Nd Floor, Sankalp Compl. Nr, Bus Stand",Dr. Khokhani Eye Hospital,Gujarat,Junagadh,362001,18.4983088,73.8134181,Gynaecologist & Obstetrician,5
Chittakhana Chowk,Dr. M.I. Vaja Hospital,Gujarat,Junagadh,362001,21.522184,70.4578768,Ophthalmologist,8
"Star Complex, Iind Floor, S.T. Road",Dr. Maniars Ent Hospital,Gujarat,Junagadh,362001,13.0919443,80.2906867,"Nephrologist, Dialysis center",13
Railway Station Road,Dr. N. M. Lakhani S Hospital,Gujarat,Junagadh,362001,21.522184,70.4578768,Paediatrician,5
"Near Bus Station, Veraval",Dr.Dahyabhai Kalaria,Gujarat,Junagadh,362001,20.9117889,70.3630409,"Dermatologist, General Physician, Dentist, Gynaecologist & Obstetrician, ENT, Orthopaedic, Neurologist, Gastroenterologist, Cardiologist, Diabetologist, Breast Cancer",8
"Sankalp Complex, 1St Floor, S. T. Road",Gajera Orthopadic Hospital,Gujarat,Junagadh,362001,21.7771,72.1498,Gynaecologist & Obstetrician,5
C.Dwarkadhish Market,Geeta Maternity and Gynaec Surgical Hospital,Gujarat,Junagadh,362001,21.522184,70.4578768,Ophthalmologist,8
Talala,Karmadeep Hospital,Gujarat,Junagadh,362001,21.0555636,70.5294682,Obstetrician,20
Railway Station Road,Lakhani Hospital,Gujarat,Junagadh,362001,21.522184,70.4578768,"Nephrologist, Dialysis center",17
Lal Palace Rd,Orthopaedic Hospital,Gujarat,Junagadh,362001,21.522184,70.4578768,Paediatrician,30
Sarthi Complex Hirabaug,Savani Surgical Hospital,Gujarat,Junagadh,362001,21.2143906,72.8604312,"Dermatologist, General Physician, Dentist, Gynaecologist & Obstetrician, ENT, Orthopaedic, Neurologist, Gastroenterologist, Cardiologist, Diabetologist, Breast Cancer",101
"3Rd. Floor, B- Dwarkadhish Market",Spandan Children Hospital,Gujarat,Junagadh,362001,18.4655611,73.8598476,Gynaecologist & Obstetrician,20
Rly.Station Road,N M Lakhani Hospital,Gujarat,Junagadh,362002,21.522184,70.4578768,Ophthalmologist,7
"Aanand Park Society,Opp Eyes Hospital, Road,Visavadar",Savaliya Surgical Hospital and Bhakti Maternith Home,Gujarat,Junagadh,362130,21.3410369,70.7522299,Cardiologist,11
"Opp Bus Stand,Keshod",Sangani Hospital,Gujarat,Junagadh,362220,21.2997164,70.2492882,"General Physician, Gynaecologist & Obstetrician, Orthopaedic, Paediatricians, Ophthalmologists",33
